review_id,sentence_id,text,category,polarity,target,from_num,to_num
1719567,493514:0,I cannot imagine a friendlier staff working in a restaurant.,SERVICE#GENERAL,positive,staff,staff,35
720418,513521:2,Drawbacks: service is slow and they don't toast!,SERVICE#GENERAL,negative,service,service,18
1028246,720418:4,Great food and the prices are very reasonable.,FOOD#QUALITY,positive,food,food,10
447697,757762:0,Baluchi's has solid food and a nice decor at reasonable prices.,FOOD#QUALITY,positive,food,food,24
535086,475512:3,If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,DRINKS#PRICES,negative,bottle,bottle,111
1726473,1410878:1,I've never had bad service and the fish is fresh and delicious.,FOOD#QUALITY,positive,fish,fish,39
657129,713152:0,"Excellent dumplings served amid clean, chic decor.",AMBIENCE#GENERAL,positive,decor,decor,49
1471273,1719567:2,We had the scallops as an appetizer and they were delicious and the sauce was wonderful.,FOOD#QUALITY,positive,sauce,sauce,73
470488,759781:2,"Most of the servers are very attentive, friendly and quite attractive.",SERVICE#GENERAL,positive,servers,servers,19
1352948,527109:2,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",FOOD#QUALITY,positive,calamari,calamari,53
1727363,1572027:3,I ate here a week ago and found most dishes average at best and too expensive.,FOOD#PRICES,negative,dishes,dishes,43
1439875,1726473:0,"Average to good Thai food, but terrible delivery.",FOOD#QUALITY,positive,Thai food,Thai food,25
519425,535086:3,Excellent spot for holiday get togethers with co-workers or friends that you haven't seen in a while.,RESTAURANT#MISCELLANEOUS,positive,spot,spot,14
1084394,1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",FOOD#QUALITY,positive,sushi,sushi,80
1746113,536919:1,The only thing the waiters don't do for you is wipe your chin when you leave.,SERVICE#GENERAL,positive,waiters,waiters,26
426805,1199480:2,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,AMBIENCE#GENERAL,positive,setting,setting,82
1439875,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,FOOD#QUALITY,negative,pork shu mai,pork shu mai,30
1086415,485966:3,I did not try the caviar but I tried their salmon and crab salad (they are all good)  ,FOOD#QUALITY,positive,crab salad,crab salad,64
1719567,610611:1,"stick with the chicken, beef, and lamb dishes.",FOOD#QUALITY,positive,beef,beef,28
1451109,1289424:0,We had a great time at the Jekyll and hyde Pub last night.,RESTAURANT#GENERAL,positive,Jekyll and hyde Pub,Jekyll and hyde Pub,46
1730127,430342:0,delicious simple food in nice outdoor atmosphere.,AMBIENCE#GENERAL,positive,outdoor atmosphere,outdoor atmosphere,48
737999,1086478:2,"The service varys from day to day- sometimes they're very nice, and sometimes not.",SERVICE#GENERAL,negative,service,service,11
536919,1340075:4,"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",FOOD#PRICES,positive,congee,congee,51
1380450,1626564:0,LLOOVVE THIS PLACE.,RESTAURANT#GENERAL,positive,PLACE,PLACE,18
657129,475298:2,Food is great and inexpensive.,FOOD#PRICES,positive,Food,Food,4
1335154,1340075:5,The takeout is great too since they give high quality tupperware as well.,SERVICE#GENERAL,positive,takeout,takeout,11
1655521,1227999:0,"When we stumbled on Leon, we thought that we had found quite the gem BUT, we were certainly wrong.",RESTAURANT#GENERAL,negative,Leon,Leon,24
493514,449802:0,"Good spreads, great beverage selections and bagels really tasty.",DRINKS#STYLE_OPTIONS,positive,beverage selections,beverage selections,39
744478,958809:2,We could have made a meal of the yummy dumplings from the dumpling menu.,FOOD#QUALITY,positive,dumplings,dumplings,48
1572027,1655521:0,I loved this place!!,RESTAURANT#GENERAL,positive,place,place,18
1655521,493013:5,I will go back to Suan soon!,RESTAURANT#GENERAL,positive,Suan,Suan,22
632121,1212346:4,Tiny dessert was $8.00...just plain overpriced for what it is.,FOOD#QUALITY,negative,dessert,dessert,12
1726001,535086:3,Excellent spot for holiday get togethers with co-workers or friends that you haven't seen in a while.,RESTAURANT#MISCELLANEOUS,positive,spot,spot,14
758263,558423:4,"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",FOOD#PRICES,positive,food,food,31
1123262,1280166:1,"Service was very good - prompt, attentive and non-intrusive.",SERVICE#GENERAL,positive,Service,Service,7
1710746,929329:3,"Interesting selection, good wines, service fine, fun decor.",SERVICE#GENERAL,positive,service,service,42
1477631,527109:4,"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",DRINKS#STYLE_OPTIONS,positive,measures of liquers,measures of liquers,88
1723402,1041457:6,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",AMBIENCE#GENERAL,negative,vent,vent,64
682250,1404042:2,Fish was overdone.,FOOD#QUALITY,negative,Fish,Fish,4
1726001,1448587:3,"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",AMBIENCE#GENERAL,neutral,decor,decor,9
470488,1086478:4,"Also, specify if you like your food spicy- its rather bland if you don't.",FOOD#QUALITY,negative,food,food,35
680390,1748813:0,I stumbled upon this great pizzeria as I explored my new neighborhood.,RESTAURANT#GENERAL,positive,pizzeria,pizzeria,35
1280166,1632929:6,I highly recommend the restaurant based on our experience last night.,RESTAURANT#GENERAL,positive,restaurant,restaurant,33
1726001,397331:4,Warning: You may find it difficult to dine at other Japanese restaurants after a visit to Mizu!,RESTAURANT#GENERAL,positive,Mizu,Mizu,94
1660047,1016296:4,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,FOOD#QUALITY,negative,Chow fun,Chow fun,8
1430994,511290:4,This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.,AMBIENCE#GENERAL,positive,ambience,ambience,39
1655504,872763:1,The food is great.,FOOD#QUALITY,positive,food,food,8
1543345,511290:4,This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.,SERVICE#GENERAL,positive,staff,staff,62
1308557,1303984:3,The scallion pancakes and fried dumplings were nothing out of the ordinary.,FOOD#QUALITY,neutral,fried dumplings,fried dumplings,41
1390357,1264954:2,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",FOOD#QUALITY,positive,cheeseburger,cheeseburger,51
483111,1626564:3,Waitstaff are very friendly.,SERVICE#GENERAL,positive,Waitstaff,Waitstaff,9
1603698,957145:2,"Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.",SERVICE#GENERAL,positive,crew,crew,47
1390357,737999:3,Atmosphere is nice and relaxed too...,AMBIENCE#GENERAL,positive,Atmosphere,Atmosphere,10
1041457,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,FOOD#QUALITY,positive,food,food,40
1439875,496132:3,The food is excellent! ,FOOD#QUALITY,positive,food,food,8
584025,1748813:2,I highly recommend the Sophia pizza.,FOOD#QUALITY,positive,Sophia pizza,Sophia pizza,35
430342,1730447:3,"The crust is thin, the ingredients are fresh and the staff is friendly.",FOOD#QUALITY,positive,crust,crust,9
1119578,1387314:4,It's a small cute restaurant.,RESTAURANT#GENERAL,positive,restaurant,restaurant,28
541532,1500453:2,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",FOOD#QUALITY,positive,dishes,dishes,78
1572027,1154550:1,The place is small and cramped but the food is fantastic.,AMBIENCE#GENERAL,negative,place,place,9
553097,535086:4,I have been doing all of the above at the Heartland Brewery for over 5 years now and I HAVE NEVER BEEN DISAPPOINTED!,RESTAURANT#GENERAL,positive,Heartland Brewery,Heartland Brewery,59
720620,1413697:2,The place is so cool and the service is prompt and curtious.,SERVICE#GENERAL,positive,service,service,36
1727363,737999:4,A great place to meet up for some food and drinks...  ,RESTAURANT#MISCELLANEOUS,positive,place,place,13
1710746,1318537:0,fresh restaurant was amazing........ food was delicious and of course fresh.,RESTAURANT#GENERAL,positive,fresh restaurant,fresh restaurant,16
1730014,541532:0,Cozy romantic atomosphere with only around 15 tables at most.,AMBIENCE#GENERAL,positive,atomosphere,atomosphere,25
530517,1300636:2,I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.,FOOD#QUALITY,positive,lobster,lobster,99
1430994,1280179:0,"I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square.",RESTAURANT#GENERAL,positive,Cafe Spice,Cafe Spice,26
1395421,464342:1,I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,SERVICE#GENERAL,negative,manager,manager,57
513521,1387314:1,This is my first time writing a review for a restaurant because the food and service was excellent.,FOOD#QUALITY,positive,food,food,72
1084394,1227999:4,"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",SERVICE#GENERAL,negative,service,service,12
615180,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",RESTAURANT#GENERAL,positive,Leon,Leon,4
1413697,454704:1,The service is awful.,SERVICE#GENERAL,negative,service,service,11
1615322,493514:1,I cannot imagine better Indian food in all of the city.,FOOD#QUALITY,positive,Indian food,Indian food,35
682250,503807:2,The food was exceptional.,FOOD#QUALITY,positive,food,food,8
1603698,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,FOOD#QUALITY,positive,half price sushi deal,half price sushi deal,47
1286916,1264954:2,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",FOOD#QUALITY,positive,chicken pot pie,chicken pot pie,19
1603698,872763:5,Never have I had such dramatic delivery guys (a lot of huffing and panting and muttering under breath b/c I live in a walkup) who always seem disappointed with their tips.,SERVICE#GENERAL,negative,delivery guys,delivery guys,44
512294,611117:3,"It was the first place we ate on our first trip to New York, and it will be the last place we stop as we head out of town on our next trip to New York.",RESTAURANT#MISCELLANEOUS,positive,place,place,90
1086478,626269:1,The best pad thai i've ever had.,FOOD#QUALITY,positive,pad thai,pad thai,17
1395421,1496205:4,"The quantity is also very good, you will come out satisfied.",FOOD#STYLE_OPTIONS,positive,quantity,quantity,12
541532,1615322:2,They have authentic Indian at amazin prices.,FOOD#QUALITY,positive,Indian,Indian,26
493013,1609375:1,"We love the food, drinks, and atmosphere!",DRINKS#QUALITY,positive,drinks,drinks,24
955711,957145:3,"I've also been amazed at all the new additions in the past few years: A new Jazz Bar, the most fantastic Dining Garden, the Best Thin Crust Pizzas, and now a Lasagna Menu which is to die for (these are not your average lasagnas)!",FOOD#QUALITY,positive,Thin Crust Pizzas,Thin Crust Pizzas,146
397331,1496205:1,The location and ambience is Ok but the food is what makes up for it.,AMBIENCE#GENERAL,neutral,ambience,ambience,25
1153034,404464:0,"Thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up.",FOOD#QUALITY,negative,food,food,80
1649025,1341354:3,"We concluded with tiramisu chocolate cake, both were delicious.",FOOD#QUALITY,positive,tiramisu chocolate cake,tiramisu chocolate cake,41
1632445,1256373:0,By far the best salad I have had in a fast food restaurant.,FOOD#QUALITY,positive,salad,salad,21
1123262,1710746:0,I got an excellent piece of cheesecake and we had several other nice pastries.,FOOD#QUALITY,positive,cheesecake,cheesecake,38
1572033,498657:2,"The rest of the dim sum, though pricey by Chinatown standards, is worth it.",FOOD#PRICES,negative,dim sum,dim sum,23
1357554,1500453:3,"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",FOOD#QUALITY,positive,lamb glazed with balsamic vinegar,lamb glazed with balsamic vinegar,83
1398844,1748813:0,I stumbled upon this great pizzeria as I explored my new neighborhood.,RESTAURANT#GENERAL,positive,pizzeria,pizzeria,35
1227999,720418:4,Great food and the prices are very reasonable.,FOOD#QUALITY,positive,food,food,10
1126814,717570:3,The portions are small but being that the food was so good makes up for that.,FOOD#QUALITY,positive,food,food,46
1297844,530517:2,"Great food, great decor, great service.",AMBIENCE#GENERAL,positive,decor,decor,23
1748839,1609375:1,"We love the food, drinks, and atmosphere!",AMBIENCE#GENERAL,positive,atmosphere,atmosphere,40
735448,519425:2,"The lamb was tender so full of flavor, the dessert was divine!!",FOOD#QUALITY,positive,dessert,dessert,50
1241906,707917:0,I have been to Rao's probably 15 times the past 3 years and it keeps getting better.,RESTAURANT#GENERAL,positive,Rao's,Rao's,20
1205520,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.,FOOD#STYLE_OPTIONS,negative,portions,portions,60
404464,1710746:4,"Consequently, their burgers fell apart in their hands and made such a mess that they did'nt feel like finishing them.",FOOD#STYLE_OPTIONS,negative,burgers,burgers,27
626269,630914:0,The food was actually aweful.,FOOD#QUALITY,negative,food,food,8
1632929,1506491:1,"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.",FOOD#QUALITY,positive,mozzarella en Carozza,mozzarella en Carozza,71
1603698,1225162:3,The staff is incredibly helpful and attentive.,SERVICE#GENERAL,positive,staff,staff,9
1300636,875139:0,"Love the scene first off- the place has a character and nice light to it..very fortunate, location wise.",AMBIENCE#GENERAL,positive,place,place,35
507937,630914:2,"The mussles were the fishiest things I've ever tasted, the seabass was bland, the goat cheese salad was missing the goat cheese, the penne w/ chicken had bones in it... It was disgusting.",FOOD#QUALITY,negative,penne w/ chicken,penne w/ chicken,149
1649025,561054:2,"The food is wonderful, tasty and filling, and the service is professional and friendly.",FOOD#STYLE_OPTIONS,positive,food,food,8
1131595,505535:1,"the pad se ew chicken was delicious, however the pad thai was far too oily.",FOOD#QUALITY,negative,pad thai,pad thai,57
1726427,615180:1,"The food was not fresh, the sauces were bland and very oily.",FOOD#QUALITY,negative,sauces,sauces,34
713152,1506491:1,"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm..... everything is just delicious.",FOOD#QUALITY,positive,mozzarella en Carozza,mozzarella en Carozza,71
1726001,758263:3,$20 for all you can eat sushi cannot be beaten.,FOOD#PRICES,positive,all you can eat sushi,all you can eat sushi,29
1477631,955711:2,LOVE the atmosphere - felt like I was in Paris.,AMBIENCE#GENERAL,positive,atmosphere,atmosphere,19
957145,1352948:0,The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.,DRINKS#STYLE_OPTIONS,positive,wine,wine,57
1125006,1730447:2,"By far, the best pizza in Manhattan.",FOOD#QUALITY,positive,pizza,pizza,22
490565,709294:0,My roommate and I LOVE this place.,RESTAURANT#GENERAL,positive,place,place,33
620892,1642666:1,We thought that this place is using too much of MSG cooking in the foods.,FOOD#QUALITY,negative,foods,foods,72
1387314,1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,FOOD#PRICES,positive,food,food,40
528251,1353599:0,Right off the L in Brooklyn this is a nice cozy place with good pizza.,FOOD#QUALITY,positive,pizza,pizza,69
1147211,1632445:3,The service is good and ambience is good for a date or group outing.,AMBIENCE#GENERAL,positive,ambience,ambience,32
1561259,1707741:2,The food was average or above including some surprising tasty dishes.,FOOD#QUALITY,positive,dishes,dishes,68
1256373,1664346:1,"Everything was wonderful; food, drinks, staff, mileau.",FOOD#QUALITY,positive,food,food,30
436868,1153034:0,Great pizza and fantastic service.,SERVICE#GENERAL,positive,service,service,33
513395,404464:1,I ordered the smoked salmon and roe appetizer and it was off flavor.,FOOD#QUALITY,negative,smoked salmon and roe appetizer,smoked salmon and roe appetizer,45
1661043,1723658:1,"Great food, good size menu, great service and an unpretensious setting.",FOOD#STYLE_OPTIONS,positive,menu,menu,26
519425,1561259:3,We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,SERVICE#GENERAL,negative,waitress,waitress,48
746254,1663111:0,I absolutely Loved this place.,RESTAURANT#GENERAL,positive,place,place,29
455623,1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it.,FOOD#QUALITY,positive,half price sushi deal,half price sushi deal,47
957145,1649025:1,"I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",FOOD#QUALITY,positive,jelly fish,jelly fish,26
485966,1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations.,FOOD#STYLE_OPTIONS,positive,exotic food,exotic food,15
553097,475512:2,"Well, this place is so Ghetto its not even funny.",AMBIENCE#GENERAL,negative,place,place,16
404464,1338124:2,The spicy Tuna roll is huge and probably the best that I've had at this price range.,FOOD#QUALITY,positive,spicy Tuna roll,spicy Tuna roll,19
1032695,527109:4,"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",DRINKS#STYLE_OPTIONS,positive,measures of liquers,measures of liquers,88
1642666,444818:0,"Seriously, this place kicks ass.",RESTAURANT#GENERAL,positive,place,place,21
433878,1506491:0,"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",DRINKS#PRICES,positive,wine,wine,112
490565,535086:0,"This is the perfect spot for meeting friends, having lunch, dinner, pre-theatre or after-theatre drinks!",RESTAURANT#MISCELLANEOUS,positive,spot,spot,24
875139,1286916:4,You cannot go wrong at the Red Eye Grill.,RESTAURANT#GENERAL,positive,Red Eye Grill,Red Eye Grill,40
1632445,935633:3,"I found it on a cold night, the perfect spot to warm up.",RESTAURANT#MISCELLANEOUS,positive,spot,spot,44
1119578,1308557:0,The service was the only thing good about this restaurant.,SERVICE#GENERAL,positive,service,service,11
1221938,1713185:3,If you want good authentic Thai this place is not the place to go.,FOOD#QUALITY,negative,Thai,Thai,31
1269216,632121:2,"The food is amazing, rich pastas and fresh doughy pizza.",FOOD#STYLE_OPTIONS,positive,pastas,pastas,32
513521,565344:1,This little place definitely exceeded my expectations and you sure get a lot of food for your money.,FOOD#PRICES,positive,food,food,84
773720,444818:1,"The atmosphere is unheralded, the service impecible, and the food magnificant.",AMBIENCE#GENERAL,positive,atmosphere,atmosphere,14
1064477,1300636:0,This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.,SERVICE#GENERAL,positive,service,service,94
1126814,1280179:1,"To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok. ",SERVICE#GENERAL,neutral,Service,Service,21
1287538,1506491:0,"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",DRINKS#PRICES,positive,wine,wine,112
1338124,1609375:1,"We love the food, drinks, and atmosphere!",AMBIENCE#GENERAL,positive,atmosphere,atmosphere,40
1394712,1457607:0,The place is a lot of fun.,AMBIENCE#GENERAL,positive,place,place,9
1225162,1642666:1,We thought that this place is using too much of MSG cooking in the foods.,FOOD#QUALITY,negative,foods,foods,72
461928,1014458:3,The wine list is interesting and has many good values.,DRINKS#PRICES,positive,wine list,wine list,13
1126814,493013:3,noodles with shrimp and chicken and coconut juice is the MUST!,FOOD#QUALITY,positive,noodles with shrimp and chicken and coconut juice,noodles with shrimp and chicken and coconut juice,49
1053543,1189674:5,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",AMBIENCE#GENERAL,positive,vibe,vibe,48
1084394,958809:3,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",FOOD#QUALITY,positive,BBQ Salmon,BBQ Salmon,40
1746113,512294:0,"Great food, great prices, great service.",SERVICE#GENERAL,positive,service,service,39
1380450,485767:3,The brioche and lollies as party favors is a cute and sweet touch to a most memorable meal.,FOOD#QUALITY,positive,brioche and lollies,brioche and lollies,23
608500,1661757:2,"The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.",AMBIENCE#GENERAL,positive,ambience,ambience,12
1603698,735448:2,"good music, great food, speedy service affordable prices.",SERVICE#GENERAL,positive,service,service,38
630914,430342:0,delicious simple food in nice outdoor atmosphere.,FOOD#QUALITY,positive,food,food,21
1328078,404464:1,I ordered the smoked salmon and roe appetizer and it was off flavor.,FOOD#QUALITY,negative,smoked salmon and roe appetizer,smoked salmon and roe appetizer,45
1062641,1398844:2,"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.",DRINKS#PRICES,negative,wine list,wine list,102
1297844,1280166:3,Wine list selection is good and wine-by-the-glass was generously filled to the top.,DRINKS#STYLE_OPTIONS,positive,Wine list selection,Wine list selection,19
1084394,470488:1,The soup for the udon was soy sauce and water.,FOOD#QUALITY,negative,soup for the udon,soup for the udon,21
1726001,1357554:3,"Service was slow, but the people were friendly.",SERVICE#GENERAL,negative,Service,Service,7
1460715,505535:0,this little place has a cute interior decor and affordable city prices.,AMBIENCE#GENERAL,positive,interior decor,interior decor,43
496132,1357554:3,"Service was slow, but the people were friendly.",SERVICE#GENERAL,negative,Service,Service,7
1062641,958809:2,We could have made a meal of the yummy dumplings from the dumpling menu.,FOOD#QUALITY,positive,dumplings,dumplings,48
1004293,455623:0,Love Pizza 33..,RESTAURANT#GENERAL,positive,Pizza 33,Pizza 33,13
1147211,1632445:0,Mermaid Inn is an overall good restaurant with really good seafood.,FOOD#QUALITY,positive,seafood,seafood,66
1543345,1603698:2,"Both times I was extremely dissappointed by the service, which was boarderline rude.",SERVICE#GENERAL,negative,service,service,55
1727363,632121:2,"The food is amazing, rich pastas and fresh doughy pizza.",FOOD#QUALITY,positive,food,food,8
